rank	name	location	visitors	population	density	id
1	Louvre	Paris, France	8900000	11060000	20000	93912381
2	Vatican Museums	Vatican City, Vatican City	5080866	825	1559	17773258
3	Natural History Museum	London, United Kingdom	4654608	11262000	14500	45260927
4	National Museum of Natural History	Washington, D.C., United States	4400000	4810669	11535	2603950
5	British Museum	London, United Kingdom	4097253	11262000	14500	93233156
6	Tate Modern	London, United Kingdom	3883160	11262000	14500	72759854
7	National Museum of Korea	Seoul, South Korea	3411381	23016000	16000	75407497
8	Guangdong Museum	Guangzhou, China	3359700	26940000	2000	20313475
9	Mevlana Museum	Konya, Turkey	3352505	2232374	59	85902253
10	Musée d'Orsay	Paris, France	3270182	11060000	20000	80126723
11	National Gallery of Art	Washington, D.C., United States	3256433	4810669	11535	31286331
12	Metropolitan Museum of Art	New York, United States	3208832	18972871	11300	35815305
13	Centre Pompidou	Paris, France	3009570	11060000	20000	81563758
14	State Hermitage Museum	Saint Petersburg, Russia	2812913	5384342	4000	69755090
15	National Gallery	London, United Kingdom	2727119	11262000	14500	36417515
16	State Russian Museum	Saint Petersburg, Russia	2651688	5384342	4000	57395372
17	National Museum of Marine Science and Technology	Keelung, Taiwan	2582444	370155	2700	62442605
18	Prado Museum	Madrid, Spain	2456724	6211000	5300	95584751
19	Victoria and Albert Museum	London, United Kingdom	2370261	11262000	14500	47507715
20	London Science Museum	London, United Kingdom	2334930	11262000	14500	62858104
21	Chinese Aviation Museum	Beijing, China	2300000	18522000	1700	63126240
22	National Museum of Natural Science	Taichung, Taiwan	2299808	3033885	1300	83129822
23	Galleria degli Uffizi	Florence, Italy	2222692	380948	3600	39235290
24	Museum of Modern Art	New York, United States	2190440	18972871	11300	75601673
25	Smithsonian Museum of American History	Washington, D.C., United States	2100000	4810669	11535	94056565
26	Topography of Terror	Berlin, Germany	2100000	4473101	4126	72863970
27	M+	Hong Kong, Hong Kong	2034331	7450000	6800	31738104
28	Opium War Museum 	Dongguan, China	2025800	10646000	4200	63362039
29	Cité des Sciences et de l'Industrie	Paris, France	1992823	11060000	20000	19859486
30	National Museum of Scotland	Edinburgh, United Kingdom	1973751	488050	1830	98284058
31	State Tretyakov Gallery	Moscow, Russia	1910000	17332000	5080	86518926
32	National Taiwan Science Education Center	Taipei, Taiwan	1878504	9078000	9127	45390542
33	National Science and Technology Museum	Kaohsiung, Taiwan	1875372	2733566	940	98392678
34	National Museum of Modern and Contemporary Art	Seoul, South Korea	1806641	23016000	16000	93057161
35	Rijksmuseum	Amsterdam, Netherlands	1766084	1459402	4900	29357359
36	California Science Center	Los Angeles, United States	1694000	12121244	3206	28618936
37	National Museum of China	Beijing, China	1630911	18522000	1700	53657888
38	Royal Museums Greenwich	London, United Kingdom	1628580	11262000	14500	70232236
39	Nanjing Museum	Nanjing, China	1610000	8422000	1400	83179672
40	Zhejiang Museum of Natural History	Hangzhou, China	1581263	9523000	1600	95153348
41	National Gallery of Victoria	Melbourne, Australia	1580303	4529500	503	19943902
42	Jianchuan Museum Cluster	Chengdu, China	1538143	14645000	4200	26033376
43	Houston Museum of Natural Science	Houston, United States	1520000	5650910	1389	42312152
44	Tokyo Metropolitan Art Museum	Tokyo, Japan	1509970	37732000	6158	52063918
45	Changzhou Museum	Changzhou, China	1508229	3601079	1900	7945239
46	Humboldt Forum	Berlin, Germany	1500000	4473101	4126	41170597
47	National Museum of Anthropology	Mexico City, Mexico	1494587	21804000	6000	85610543
48	National Museum of History	Mexico City, Mexico	1486379	21804000	6000	15900496
49	National Air and Space Museum	Washington, D.C., United States	1486000	4810669	11535	60036641
50	Kaohsiung Museum of Fine Arts	Kaohsiung, Taiwan	1461406	2733566	940	53243155
51	Acropolis Museum	Athens, Greece	1451727	3041131	7400	81731699
52	China Science and Technology Museum	Beijing, China	1431189	18522000	1700	6801823
53	Galleria dell'Accademia	Florence, Italy	1428369	380948	3600	38471475
54	Suzhou Museum	Suzhou, China	1417412	5352924	2300	31322268
55	Chengdu Museum	Chengdu, China	1404735	14645000	4200	62748732
56	Shanghai Science and Technology Museum	Shanghai, China	1403179	24073000	3854	66767872
57	The National Art Center, Tokyo	Tokyo, Japan	1400096	37732000	6158	75814171
58	Louis Vuitton Foundation	Paris, France	1398525	11060000	20000	29420179
59	Tokyo National Museum	Tokyo, Japan	1372132	37732000	6158	31998384
60	National Museum in Kraków	Kraków, Poland	1365425	800653	2461	70351766
61	Centro Cultural Banco do Brasil	São Paulo, Brazil	1364208	23086000	8000	70594142
62	Van Gogh Museum	Amsterdam, Netherlands	1364023	1459402	4900	70777849
63	National Museum of Nature and Science	Tokyo, Japan	1350000	37732000	6158	49401658
64	Kunsthistorisches Museum	Vienna, Austria	1345617	1973403	4326	79006673
65	Tianjin Natural History Museum	Tianjin, China	1320752	10368000	1300	55499816
66	Palacio de Cristal del Retiro	Madrid, Spain	1318823	6211000	5300	87996195
67	Guggenheim Museum Bilbao	Bilbao, Spain	1289147	775000	8300	4714648
68	Scottish National Gallery	Edinburgh, United Kingdom	1277230	488050	1830	55961760
69	National Gallery Singapore	Singapore, Singapore	1262189	5983000	8592	36461456
70	Museo Reina Sofía	Madrid, Spain	1253183	6211000	5300	45546159
