location	density
Paris, France	20000
Vatican City, Vatican City	1559
London, United Kingdom	14500
London, United Kingdom	14500
Washington, D.C., United States	11535
London, United Kingdom	14500
Seoul, South Korea	16000
Guangzhou, China	2000
Konya, Turkey	59
Paris, France	20000
Washington, D.C., United States	11535
New York, United States	11300
Paris, France	20000
Saint Petersburg, Russia	4000
London, United Kingdom	14500
Saint Petersburg, Russia	4000
Keelung, Taiwan	2700
Madrid, Spain	5300
London, United Kingdom	14500
London, United Kingdom	14500
Beijing, China	1700
Taichung, Taiwan	1300
Florence, Italy	3600
New York, United States	11300
Berlin, Germany	4126
Hong Kong, Hong Kong	6800
Dongguan, China	4200
Paris, France	20000
Edinburgh, United Kingdom	1830
Moscow, Russia	5080
Taipei, Taiwan	9127
Kaohsiung, Taiwan	940
Seoul, South Korea	16000
Washington, D.C., United States	11535
Amsterdam, Netherlands	4900
Los Angeles, United States	3206
Beijing, China	1700
London, United Kingdom	14500
Nanjing, China	1400
Hangzhou, China	1600
Melbourne, Australia	503
Chengdu, China	4200
Houston, United States	1389
Tokyo, Japan	6158
Changzhou, China	1900
Berlin, Germany	4126
Mexico City, Mexico	6000
Mexico City, Mexico	6000
Washington, D.C., United States	11535
Kaohsiung, Taiwan	940
Athens, Greece	7400
Beijing, China	1700
Florence, Italy	3600
Suzhou, China	2300
Chengdu, China	4200
Shanghai, China	3854
Tokyo, Japan	6158
Paris, France	20000
Tokyo, Japan	6158
Kraków, Poland	2461
São Paulo, Brazil	8000
Amsterdam, Netherlands	4900
Tokyo, Japan	6158
Vienna, Austria	4326
Tianjin, China	1300
Madrid, Spain	5300
Bilbao, Spain	8300
Edinburgh, United Kingdom	1830
Singapore, Singapore	8592
Madrid, Spain	5300
Marseille, France	3500
